log_id,user_id,family_id,appliance_id,appliance_type,device_name,event_type,action_type,operation_state,mode,started_at,ended_at,usage_date,duration_minutes,energy_kwh,error_code,source,dataset_split,period_label,expected_base_cycle_days,expected_changed_cycle_days,expected_base_daily_frequency,expected_changed_daily_frequency,expected_change_type,created_at
TRAIN_000042583,U067,F067,F067_ROBOT_CLEANER,robot_cleaner,F067_robot_cleaner,usage,start,completed,quiet_clean,2025-01-01T09:31:00+09:00,2025-01-01T10:22:00+09:00,2025-01-01,51,0.217,,multi_family_synthetic_thinq_like_log,train,base_routine,1,1,1,1,none,2025-01-01T10:22:00+09:00
TRAIN_000043217,U068,F068,F068_ROBOT_CLEANER,robot_cleaner,F068_robot_cleaner,usage,start,completed,quiet_clean,2025-01-01T09:32:00+09:00,2025-01-01T10:28:00+09:00,2025-01-01,56,0.187,,multi_family_synthetic_thinq_like_log,train,base_routine,1,1,1,1,none,2025-01-01T10:28:00+09:00
TRAIN_000021974,U035,F035,F035_ROBOT_CLEANER,robot_cleaner,F035_robot_cleaner,usage,start,completed,auto_clean,2025-01-01T09:34:00+09:00,2025-01-01T10:30:00+09:00,2025-01-01,56,0.153,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T10:30:00+09:00
TRAIN_000028477,U045,F045,F045_ROBOT_CLEANER,robot_cleaner,F045_robot_cleaner,usage,start,completed,quiet_clean,2025-01-01T09:41:00+09:00,2025-01-01T10:23:00+09:00,2025-01-01,42,0.202,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T10:23:00+09:00
TRAIN_000048968,U077,F077,F077_ROBOT_CLEANER,robot_cleaner,F077_robot_cleaner,usage,start,completed,edge_clean,2025-01-01T09:44:00+09:00,2025-01-01T10:46:00+09:00,2025-01-01,62,0.183,,multi_family_synthetic_thinq_like_log,train,base_routine,1,1,1,1,none,2025-01-01T10:46:00+09:00
TRAIN_000007150,U012,F012,F012_ROBOT_CLEANER,robot_cleaner,F012_robot_cleaner,usage,start,completed,auto_clean,2025-01-01T09:45:00+09:00,2025-01-01T10:34:00+09:00,2025-01-01,49,0.196,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T10:34:00+09:00
TRAIN_000038078,U060,F060,F060_ROBOT_CLEANER,robot_cleaner,F060_robot_cleaner,usage,start,completed,auto_clean,2025-01-01T09:47:00+09:00,2025-01-01T10:46:00+09:00,2025-01-01,59,0.136,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T10:46:00+09:00
TRAIN_000009104,U015,F015,F015_ROBOT_CLEANER,robot_cleaner,F015_robot_cleaner,usage,start,completed,quiet_clean,2025-01-01T09:50:00+09:00,2025-01-01T10:45:00+09:00,2025-01-01,55,0.193,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T10:45:00+09:00
TRAIN_000019452,U031,F031,F031_ROBOT_CLEANER,robot_cleaner,F031_robot_cleaner,usage,start,completed,edge_clean,2025-01-01T09:51:00+09:00,2025-01-01T10:46:00+09:00,2025-01-01,55,0.164,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T10:46:00+09:00
TRAIN_000055301,U087,F087,F087_ROBOT_CLEANER,robot_cleaner,F087_robot_cleaner,usage,start,completed,auto_clean,2025-01-01T09:57:00+09:00,2025-01-01T10:58:00+09:00,2025-01-01,61,0.186,,multi_family_synthetic_thinq_like_log,train,base_routine,1,1,1,1,none,2025-01-01T10:58:00+09:00
TRAIN_000025241,U040,F040,F040_ROBOT_CLEANER,robot_cleaner,F040_robot_cleaner,usage,start,completed,quiet_clean,2025-01-01T09:58:00+09:00,2025-01-01T11:03:00+09:00,2025-01-01,65,0.209,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T11:03:00+09:00
TRAIN_000065131,U103,F103,F103_ROBOT_CLEANER,robot_cleaner,F103_robot_cleaner,usage,start,completed,quiet_clean,2025-01-01T10:00:00+09:00,2025-01-01T11:01:00+09:00,2025-01-01,61,0.195,,multi_family_synthetic_thinq_like_log,train,base_routine,1,3,1,1,interval_change,2025-01-01T11:01:00+09:00
TRAIN_000013611,U022,F022,F022_ROBOT_CLEANER,robot_cleaner,F022_robot_cleaner,usage,start,completed,quiet_clean,2025-01-01T10:02:00+09:00,2025-01-01T10:59:00+09:00,2025-01-01,57,0.232,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T10:59:00+09:00
TRAIN_000050244,U079,F079,F079_ROBOT_CLEANER,robot_cleaner,F079_robot_cleaner,usage,start,completed,quiet_clean,2025-01-01T10:06:00+09:00,2025-01-01T10:55:00+09:00,2025-01-01,49,0.207,,multi_family_synthetic_thinq_like_log,train,base_routine,1,1,1,1,none,2025-01-01T10:55:00+09:00
TRAIN_000012285,U020,F020,F020_ROBOT_CLEANER,robot_cleaner,F020_robot_cleaner,usage,start,completed,auto_clean,2025-01-01T10:10:00+09:00,2025-01-01T11:03:00+09:00,2025-01-01,53,0.174,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T11:03:00+09:00
TRAIN_000054676,U086,F086,F086_ROBOT_CLEANER,robot_cleaner,F086_robot_cleaner,usage,start,completed,edge_clean,2025-01-01T10:17:00+09:00,2025-01-01T11:18:00+09:00,2025-01-01,61,0.206,,multi_family_synthetic_thinq_like_log,train,base_routine,1,1,1,1,none,2025-01-01T11:18:00+09:00
TRAIN_000055951,U088,F088,F088_ROBOT_CLEANER,robot_cleaner,F088_robot_cleaner,usage,start,completed,edge_clean,2025-01-01T10:17:00+09:00,2025-01-01T11:11:00+09:00,2025-01-01,54,0.181,,multi_family_synthetic_thinq_like_log,train,base_routine,1,1,1,1,none,2025-01-01T11:11:00+09:00
TRAIN_000005179,U009,F009,F009_ROBOT_CLEANER,robot_cleaner,F009_robot_cleaner,usage,start,completed,quiet_clean,2025-01-01T10:20:00+09:00,2025-01-01T11:06:00+09:00,2025-01-01,46,0.24,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T11:06:00+09:00
TRAIN_000039995,U063,F063,F063_ROBOT_CLEANER,robot_cleaner,F063_robot_cleaner,usage,start,completed,auto_clean,2025-01-01T10:20:00+09:00,2025-01-01T11:05:00+09:00,2025-01-01,45,0.207,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T11:05:00+09:00
TRAIN_000053411,U084,F084,F084_ROBOT_CLEANER,robot_cleaner,F084_robot_cleaner,usage,start,completed,auto_clean,2025-01-01T10:25:00+09:00,2025-01-01T11:22:00+09:00,2025-01-01,57,0.178,,multi_family_synthetic_thinq_like_log,train,base_routine,1,1,1,1,none,2025-01-01T11:22:00+09:00
TRAIN_000056585,U089,F089,F089_ROBOT_CLEANER,robot_cleaner,F089_robot_cleaner,usage,start,completed,auto_clean,2025-01-01T10:34:00+09:00,2025-01-01T11:30:00+09:00,2025-01-01,56,0.154,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,2,interval_and_frequency_change,2025-01-01T11:30:00+09:00
TRAIN_000003261,U006,F006,F006_ROBOT_CLEANER,robot_cleaner,F006_robot_cleaner,usage,start,completed,quiet_clean,2025-01-01T10:36:00+09:00,2025-01-01T11:41:00+09:00,2025-01-01,65,0.142,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T11:41:00+09:00
TRAIN_000012942,U021,F021,F021_ROBOT_CLEANER,robot_cleaner,F021_robot_cleaner,usage,start,completed,quiet_clean,2025-01-01T10:38:00+09:00,2025-01-01T11:44:00+09:00,2025-01-01,66,0.187,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T11:44:00+09:00
TRAIN_000065656,U104,F104,F104_ROBOT_CLEANER,robot_cleaner,F104_robot_cleaner,usage,start,completed,auto_clean,2025-01-01T10:39:00+09:00,2025-01-01T11:21:00+09:00,2025-01-01,42,0.147,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T11:21:00+09:00
TRAIN_000025889,U041,F041,F041_ROBOT_CLEANER,robot_cleaner,F041_robot_cleaner,usage,start,completed,quiet_clean,2025-01-01T10:43:00+09:00,2025-01-01T11:49:00+09:00,2025-01-01,66,0.208,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T11:49:00+09:00
TRAIN_000062977,U099,F099,F099_ROBOT_CLEANER,robot_cleaner,F099_robot_cleaner,usage,start,completed,quiet_clean,2025-01-01T10:43:00+09:00,2025-01-01T11:49:00+09:00,2025-01-01,66,0.216,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,2,interval_and_frequency_change,2025-01-01T11:49:00+09:00
TRAIN_000041278,U065,F065,F065_ROBOT_CLEANER,robot_cleaner,F065_robot_cleaner,usage,start,completed,edge_clean,2025-01-01T10:47:00+09:00,2025-01-01T11:26:00+09:00,2025-01-01,39,0.164,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T11:26:00+09:00
TRAIN_000006496,U011,F011,F011_ROBOT_CLEANER,robot_cleaner,F011_robot_cleaner,usage,start,completed,quiet_clean,2025-01-01T10:49:00+09:00,2025-01-01T11:42:00+09:00,2025-01-01,53,0.148,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T11:42:00+09:00
TRAIN_000005837,U010,F010,F010_ROBOT_CLEANER,robot_cleaner,F010_robot_cleaner,usage,start,completed,edge_clean,2025-01-01T10:52:00+09:00,2025-01-01T11:32:00+09:00,2025-01-01,40,0.144,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T11:32:00+09:00
TRAIN_000010361,U017,F017,F017_ROBOT_CLEANER,robot_cleaner,F017_robot_cleaner,usage,start,completed,quiet_clean,2025-01-01T10:52:00+09:00,2025-01-01T11:54:00+09:00,2025-01-01,62,0.202,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T11:54:00+09:00
TRAIN_000040654,U064,F064,F064_ROBOT_CLEANER,robot_cleaner,F064_robot_cleaner,usage,start,completed,auto_clean,2025-01-01T10:53:00+09:00,2025-01-01T11:42:00+09:00,2025-01-01,49,0.16,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T11:42:00+09:00
TRAIN_000003891,U007,F007,F007_ROBOT_CLEANER,robot_cleaner,F007_robot_cleaner,usage,start,completed,quiet_clean,2025-01-01T10:54:00+09:00,2025-01-01T11:46:00+09:00,2025-01-01,52,0.146,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T11:46:00+09:00
TRAIN_000018816,U030,F030,F030_ROBOT_CLEANER,robot_cleaner,F030_robot_cleaner,usage,start,completed,quiet_clean,2025-01-01T11:04:00+09:00,2025-01-01T11:54:00+09:00,2025-01-01,50,0.281,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T11:54:00+09:00
TRAIN_000036160,U057,F057,F057_ROBOT_CLEANER,robot_cleaner,F057_robot_cleaner,usage,start,completed,edge_clean,2025-01-01T11:07:00+09:00,2025-01-01T12:10:00+09:00,2025-01-01,63,0.211,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T12:10:00+09:00
TRAIN_000068673,U110,F110,F110_ROBOT_CLEANER,robot_cleaner,F110_robot_cleaner,usage,start,completed,auto_clean,2025-01-01T11:08:00+09:00,2025-01-01T12:08:00+09:00,2025-01-01,60,0.215,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T12:08:00+09:00
TRAIN_000050879,U080,F080,F080_ROBOT_CLEANER,robot_cleaner,F080_robot_cleaner,usage,start,completed,quiet_clean,2025-01-01T11:09:00+09:00,2025-01-01T11:47:00+09:00,2025-01-01,38,0.118,,multi_family_synthetic_thinq_like_log,train,base_routine,1,1,1,1,none,2025-01-01T11:47:00+09:00
TRAIN_000031045,U049,F049,F049_ROBOT_CLEANER,robot_cleaner,F049_robot_cleaner,usage,start,completed,auto_clean,2025-01-01T11:17:00+09:00,2025-01-01T12:10:00+09:00,2025-01-01,53,0.148,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T12:10:00+09:00
TRAIN_000000651,U002,F002,F002_ROBOT_CLEANER,robot_cleaner,F002_robot_cleaner,usage,start,completed,quiet_clean,2025-01-01T11:18:00+09:00,2025-01-01T12:01:00+09:00,2025-01-01,43,0.183,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T12:01:00+09:00
TRAIN_000000001,U001,F001,F001_ROBOT_CLEANER,robot_cleaner,F001_robot_cleaner,usage,start,completed,quiet_clean,2025-01-01T11:19:00+09:00,2025-01-01T12:14:00+09:00,2025-01-01,55,0.234,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T12:14:00+09:00
TRAIN_000029775,U047,F047,F047_ROBOT_CLEANER,robot_cleaner,F047_robot_cleaner,usage,start,completed,auto_clean,2025-01-01T11:21:00+09:00,2025-01-01T12:18:00+09:00,2025-01-01,57,0.136,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T12:18:00+09:00
TRAIN_000063608,U100,F100,F100_ROBOT_CLEANER,robot_cleaner,F100_robot_cleaner,usage,start,completed,auto_clean,2025-01-01T11:26:00+09:00,2025-01-01T12:17:00+09:00,2025-01-01,51,0.179,,multi_family_synthetic_thinq_like_log,train,base_routine,1,3,1,1,interval_change,2025-01-01T12:17:00+09:00
TRAIN_000049614,U078,F078,F078_ROBOT_CLEANER,robot_cleaner,F078_robot_cleaner,usage,start,completed,quiet_clean,2025-01-01T11:31:00+09:00,2025-01-01T12:34:00+09:00,2025-01-01,63,0.191,,multi_family_synthetic_thinq_like_log,train,base_routine,1,1,1,1,none,2025-01-01T12:34:00+09:00
TRAIN_000061707,U097,F097,F097_ROBOT_CLEANER,robot_cleaner,F097_robot_cleaner,usage,start,completed,edge_clean,2025-01-01T11:31:00+09:00,2025-01-01T12:29:00+09:00,2025-01-01,58,0.216,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,2,interval_and_frequency_change,2025-01-01T12:29:00+09:00
TRAIN_000009733,U016,F016,F016_ROBOT_CLEANER,robot_cleaner,F016_robot_cleaner,usage,start,completed,quiet_clean,2025-01-01T11:33:00+09:00,2025-01-01T12:23:00+09:00,2025-01-01,50,0.227,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T12:23:00+09:00
TRAIN_000030424,U048,F048,F048_ROBOT_CLEANER,robot_cleaner,F048_robot_cleaner,usage,start,completed,quiet_clean,2025-01-01T11:35:00+09:00,2025-01-01T12:19:00+09:00,2025-01-01,44,0.199,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T12:19:00+09:00
TRAIN_000007805,U013,F013,F013_ROBOT_CLEANER,robot_cleaner,F013_robot_cleaner,usage,start,completed,edge_clean,2025-01-01T11:43:00+09:00,2025-01-01T12:35:00+09:00,2025-01-01,52,0.19,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T12:35:00+09:00
TRAIN_000018817,U030,F030,F030_ROBOT_CLEANER,robot_cleaner,F030_robot_cleaner,usage,start,completed,quiet_clean,2025-01-01T11:43:00+09:00,2025-01-01T12:44:00+09:00,2025-01-01,61,0.22,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T12:44:00+09:00
TRAIN_000045149,U071,F071,F071_ROBOT_CLEANER,robot_cleaner,F071_robot_cleaner,usage,start,completed,quiet_clean,2025-01-01T11:47:00+09:00,2025-01-01T12:41:00+09:00,2025-01-01,54,0.26,,multi_family_synthetic_thinq_like_log,train,base_routine,1,1,1,1,none,2025-01-01T12:41:00+09:00
TRAIN_000023302,U037,F037,F037_ROBOT_CLEANER,robot_cleaner,F037_robot_cleaner,usage,start,completed,edge_clean,2025-01-01T11:49:00+09:00,2025-01-01T12:32:00+09:00,2025-01-01,43,0.197,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T12:32:00+09:00
TRAIN_000027832,U044,F044,F044_ROBOT_CLEANER,robot_cleaner,F044_robot_cleaner,usage,start,completed,quiet_clean,2025-01-01T11:49:00+09:00,2025-01-01T12:56:00+09:00,2025-01-01,67,0.173,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T12:56:00+09:00
TRAIN_000047052,U074,F074,F074_ROBOT_CLEANER,robot_cleaner,F074_robot_cleaner,usage,start,completed,edge_clean,2025-01-01T11:49:00+09:00,2025-01-01T12:53:00+09:00,2025-01-01,64,0.215,,multi_family_synthetic_thinq_like_log,train,base_routine,1,1,1,1,none,2025-01-01T12:53:00+09:00
TRAIN_000027168,U043,F043,F043_ROBOT_CLEANER,robot_cleaner,F043_robot_cleaner,usage,start,completed,edge_clean,2025-01-01T11:53:00+09:00,2025-01-01T12:58:00+09:00,2025-01-01,65,0.159,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T12:58:00+09:00
TRAIN_000015559,U025,F025,F025_ROBOT_CLEANER,robot_cleaner,F025_robot_cleaner,usage,start,completed,quiet_clean,2025-01-01T11:55:00+09:00,2025-01-01T12:45:00+09:00,2025-01-01,50,0.143,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T12:45:00+09:00
TRAIN_000060410,U095,F095,F095_ROBOT_CLEANER,robot_cleaner,F095_robot_cleaner,usage,start,completed,edge_clean,2025-01-01T12:02:00+09:00,2025-01-01T12:37:00+09:00,2025-01-01,35,0.218,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,2,interval_and_frequency_change,2025-01-01T12:37:00+09:00
TRAIN_000016236,U026,F026,F026_ROBOT_CLEANER,robot_cleaner,F026_robot_cleaner,usage,start,completed,quiet_clean,2025-01-01T12:06:00+09:00,2025-01-01T13:17:00+09:00,2025-01-01,71,0.184,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T13:17:00+09:00
TRAIN_000062346,U098,F098,F098_ROBOT_CLEANER,robot_cleaner,F098_robot_cleaner,usage,start,completed,edge_clean,2025-01-01T12:15:00+09:00,2025-01-01T12:41:00+09:00,2025-01-01,26,0.168,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,2,interval_and_frequency_change,2025-01-01T12:41:00+09:00
TRAIN_000022631,U036,F036,F036_ROBOT_CLEANER,robot_cleaner,F036_robot_cleaner,usage,start,completed,quiet_clean,2025-01-01T12:16:00+09:00,2025-01-01T13:21:00+09:00,2025-01-01,65,0.134,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T13:21:00+09:00
